"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 12 11:27:40 IST 2020","Thu Nov 12 11:27:48 IST 2020","8551","","Delete KNOS Relationship","","Delete KNOS Relationship","DeleteKNOS Association - It should Delete KNOS Association!","DeleteKNOS Association - It should Delete KNOS Association!",""
"failed","Thu Nov 12 11:28:05 IST 2020","Thu Nov 12 11:28:06 IST 2020","153","","Admin Updates Case SubType","","Admin Updates Case SubType","AdminUpdatesCaseSubType - It should update a Case sub type Name","AdminUpdatesCaseSubType - It should update a Case sub type Name",""
"passed","Thu Nov 12 11:27:32 IST 2020","Thu Nov 12 11:27:40 IST 2020","7512","","Update KNOS Relationship","","Update KNOS Relationship","UpdateKNOS Association - It should Update KNOS Association!","UpdateKNOS Association - It should Update KNOS Association!",""
"failed","Thu Nov 12 11:25:42 IST 2020","Thu Nov 12 11:25:52 IST 2020","10643","","Validations for Add New Role","","Validations for Add New Role","ValidationsTest - It should create new Role","ValidationsTest - It should create new Role",""
"passed","Thu Nov 12 11:26:53 IST 2020","Thu Nov 12 11:26:59 IST 2020","6199","","Reject Reason","","Reject Reason","RejectReasonTest - It should delete a random  Reason Name","RejectReasonTest - It should delete a random  Reason Name",""
"passed","Thu Nov 12 11:24:06 IST 2020","Thu Nov 12 11:24:36 IST 2020","30053","","Create New State Court","","Create New State Court","createStateCourtTest - IT should create new State court","createStateCourtTest - IT should create new State court",""
"failed","Thu Nov 12 11:26:03 IST 2020","Thu Nov 12 11:26:14 IST 2020","11057","","Validations for Add New Role","","Validations for Add New Role","ValidationsTest - It should not create new role as the description is more thatn 1000 characters","ValidationsTest - It should not create new role as the description is more thatn 1000 characters",""
"passed","Thu Nov 12 11:23:13 IST 2020","Thu Nov 12 11:23:31 IST 2020","17312","","Users","","Users","AdminUpdateExistingUserTest - It should Update existing Admin User","AdminUpdateExistingUserTest - It should Update existing Admin User",""
"passed","Thu Nov 12 11:25:34 IST 2020","Thu Nov 12 11:25:42 IST 2020","7503","","User Roles","","User Roles","AddNewRoleTest - It should Add New Role!","AddNewRoleTest - It should Add New Role!",""
"failed","Thu Nov 12 11:25:52 IST 2020","Thu Nov 12 11:26:03 IST 2020","10654","","Validations for Add New Role","","Validations for Add New Role","ValidationsTest - It should not create new role as role name is more thatn 20 characters","ValidationsTest - It should not create new role as role name is more thatn 20 characters",""
"passed","Thu Nov 12 11:23:51 IST 2020","Thu Nov 12 11:24:06 IST 2020","14735","","Delete User","","Delete User","DeleteUserTest - It should make a user active/inactive","DeleteUserTest - It should make a user active/inactive",""
"passed","Thu Nov 12 11:27:09 IST 2020","Thu Nov 12 11:27:25 IST 2020","15612","","Add KNOS Relationship","","Add KNOS Relationship","Verify KNOS- Verifying relationship in Associate KNOS Codes drop down","Verify KNOS- Verifying relationship in Associate KNOS Codes drop down",""
"failed","Thu Nov 12 11:28:05 IST 2020","Thu Nov 12 11:28:05 IST 2020","154","","Add CaseType","","Add CaseType","AdminDeletesCaseTypeTest - It should delete a random  Type Name","AdminDeletesCaseTypeTest - It should delete a random  Type Name",""
"passed","Thu Nov 12 11:21:51 IST 2020","Thu Nov 12 11:22:44 IST 2020","52589","","Users","","Users","Admin - It should add adminUser","Admin - It should add adminUser",""
"passed","Thu Nov 12 11:22:44 IST 2020","Thu Nov 12 11:23:13 IST 2020","29476","","Users","","Users","Case Manager - It should add casemanager","Case Manager - It should add casemanager",""
"failed","Thu Nov 12 11:28:05 IST 2020","Thu Nov 12 11:28:05 IST 2020","169","","Add Case SubType","","Add Case SubType","AdminAddsCaseSubTypeTest - It should Add New Case SubType without Entering value","AdminAddsCaseSubTypeTest - It should Add New Case SubType without Entering value",""
"passed","Thu Nov 12 11:26:35 IST 2020","Thu Nov 12 11:26:39 IST 2020","4943","","Reject Reason","","Reject Reason","rejectReasonTest - Add Reject Reason without reason name","rejectReasonTest - Add Reject Reason without reason name",""
"passed","Thu Nov 12 11:26:39 IST 2020","Thu Nov 12 11:26:47 IST 2020","7376","","Reject Reason","","Reject Reason","RejectReasonTest - It should Add Reject Reason!","RejectReasonTest - It should Add Reject Reason!",""
"passed","Thu Nov 12 11:27:25 IST 2020","Thu Nov 12 11:27:32 IST 2020","7665","","Add KNOS Relationship","","Add KNOS Relationship","CancelKNOS- It should cancel adding new casetype and subtype releationship to system!","CancelKNOS- It should cancel adding new casetype and subtype releationship to system!",""
"passed","Thu Nov 12 11:25:01 IST 2020","Thu Nov 12 11:25:23 IST 2020","22906","","Update Court","","Update Court","updateCourt - It should Update the Court Information!","updateCourt - It should Update the Court Information!",""
"passed","Thu Nov 12 11:27:48 IST 2020","Thu Nov 12 11:28:04 IST 2020","15705","","Delete KNOS Relationship","","Delete KNOS Relationship","DeleteKNOS Association - Verifying relationship in Associate KNOS Codes drop down","DeleteKNOS Association - Verifying relationship in Associate KNOS Codes drop down",""
"failed","Thu Nov 12 11:28:04 IST 2020","Thu Nov 12 11:28:05 IST 2020","153","","Add CaseType","","Add CaseType","AdminAddsCaseTypeTest - It should Add New Case SubType","AdminAddsCaseTypeTest - It should Add New Case SubType",""
"passed","Thu Nov 12 11:26:47 IST 2020","Thu Nov 12 11:26:53 IST 2020","6333","","Reject Reason","","Reject Reason","RejectReasonTest - It should update a Reject reason  Name","RejectReasonTest - It should update a Reject reason  Name",""
"failed","Thu Nov 12 11:28:05 IST 2020","Thu Nov 12 11:28:05 IST 2020","179","","Add Case SubType","","Add Case SubType","AdminAddsCaseSubTypeTest - It should Add New Case SubType","AdminAddsCaseSubTypeTest - It should Add New Case SubType",""
"passed","Thu Nov 12 11:26:23 IST 2020","Thu Nov 12 11:26:34 IST 2020","11884","","User Roles","","User Roles","UpdateRole - It should Update the User Role!","UpdateRole - It should Update the User Role!",""
"failed","Thu Nov 12 11:28:05 IST 2020","Thu Nov 12 11:28:05 IST 2020","169","","Delete CaseType","","Delete CaseType","AdminDeletesCaseTypeTest - It should delete a random  Type Name","AdminDeletesCaseTypeTest - It should delete a random  Type Name",""
"passed","Thu Nov 12 11:24:36 IST 2020","Thu Nov 12 11:25:01 IST 2020","24478","","Add Court","","Add Court","createFederalCourtTest - IT should create new Federal court","createFederalCourtTest - IT should create new Federal court",""
"passed","Thu Nov 12 11:23:31 IST 2020","Thu Nov 12 11:23:51 IST 2020","20507","","Users","","Users","AdminUpdateExistingUserTest - It should Update existing Case Manager","AdminUpdateExistingUserTest - It should Update existing Case Manager",""
"failed","Wed Nov 11 22:28:07 IST 2020","Wed Nov 11 22:28:54 IST 2020","46772","","Update Court","","Update Court","UpdateCourt - It should Update the Court Information!","UpdateCourt - It should Update the Court Information!",""
"failed","Thu Nov 12 11:28:04 IST 2020","Thu Nov 12 11:28:04 IST 2020","194","","Add CaseType","","Add CaseType","AdminAddsCaseTypeTest - It should Add New Case Type without Entering value","AdminAddsCaseTypeTest - It should Add New Case Type without Entering value",""
"passed","Thu Nov 12 11:25:24 IST 2020","Thu Nov 12 11:25:34 IST 2020","10488","","Delete Court","","Delete Court","DeleteCourt - It should Delete Court!","DeleteCourt - It should Delete Court!",""
"failed","Thu Nov 12 11:28:05 IST 2020","Thu Nov 12 11:28:05 IST 2020","148","","Update Case Type","","Update Case Type","AdminUpdateCaseTypeTest1 - It should Update Case Type","AdminUpdateCaseTypeTest1 - It should Update Case Type",""
"passed","Thu Nov 12 11:26:14 IST 2020","Thu Nov 12 11:26:23 IST 2020","8734","","Validations for Add New Role","","Validations for Add New Role","ValidationsTest - It should not create new role as the role name contains special characters","ValidationsTest - It should not create new role as the role name contains special characters",""
"passed","Thu Nov 12 11:26:59 IST 2020","Thu Nov 12 11:27:09 IST 2020","9757","","Add KNOS Relationship","","Add KNOS Relationship","AddNewKNOS- It should add new casetype and subtype releationship to system!","AddNewKNOS- It should add new casetype and subtype releationship to system!",""
"failed","Thu Nov 12 11:28:06 IST 2020","Thu Nov 12 11:28:06 IST 2020","131","","Delete Case SubType","","Delete Case SubType","AdminDeletesCaseSubTypeTest - It should delete a Case Subtype","AdminDeletesCaseSubTypeTest - It should delete a Case Subtype",""
